"visit_date","visitors_count","utm_source","utm_medium","utm_campaign","total_cost","leads_count","purchases_count","revenue"
2023-06-01,59,yandex,cpc,prof-frontend,57138,55,126,1330499
2023-06-01,88,yandex,cpc,freemium,21654,85,126,1175213
2023-06-01,89,vk,cpc,prof-python,2028,58,126,588004
2023-06-01,113,vk,cpc,freemium-frontend,3160,72,126,552181
2023-06-01,40,yandex,cpc,prof-python,33026,40,126,549709
2023-06-01,21,yandex,cpc,base-python,12524,20,126,389941
2023-06-01,31,yandex,cpc,base-frontend,18061,31,126,265590
2023-06-01,68,vk,cpc,prof-data-analytics,1072,48,126,253444
2023-06-01,60,vk,cpc,freemium-python,980,39,126,249186
2023-06-01,8,yandex,cpc,dod-frontend,2871,8,126,203035
2023-06-01,33,yandex,cpc,prof-java,29490,33,126,200340
2023-06-01,70,vk,cpc,prof-java,3115,38,126,151192
2023-06-01,3,yandex,cpc,dod-php,5964,3,126,150255
2023-06-01,10,yandex,cpc,prof-data-analytics,10086,10,126,144244
2023-06-01,6,yandex,cpc,dod-professions,,6,126,109197
